id,Descriptio,Longitude,Latitude,Presence
random15,,70.57397,42.35607,0
random16,,71.97576,42.83027,0
random17,,71.99882,42.8121,0
random18,,71.99899,42.80555,0
random19,,71.94818,42.80366,0
random20,,71.96054,42.80599,0
random21,,71.94844,42.82205,0
random22,,71.91651,42.8172,0
random23,,71.93608,42.82601,0
random24,,71.89111,42.82998,0
random25,,71.92604,42.82274,0
random26,,71.91969,42.82973,0
random27,,71.9117,42.82028,0
random28,,71.55956,42.20164,0
random29,,71.51218,42.20634,0
random30,,71.489,42.19744,0
random31,,71.45295,42.18778,0
random32,,71.38429,42.22135,0
random33,,71.34755,42.23113,0
random34,,71.40317,42.20024,0
random35,,71.39116,42.2066,0
random36,,71.34103,42.21245,0
random37,,71.2837,42.22808,0
random38,,71.22335,42.23505,0
random39,,71.26455,42.21064,0
random40,,71.16464,42.26707,0
random41,,71.14679,42.29844,0
random42,,71.03195,42.31304,0
random43,,71.12345,42.29932,0
random44,,70.98663,42.2644,0
random45,,70.99144,42.2964,0
random46,,70.97771,42.28244,0
random47,,71.04843,42.29818,0
random48,,70.96398,42.30631,0
random49,,70.11962,41.86705,0
random50,,70.12855,41.87044,0
random51,,70.14648,41.86756,0
random52,,70.31575,41.8781,0
random53,,70.19765,41.92946,0
random54,,70.19765,41.89088,0
random55,,70.2258,41.92206,0
random56,,70.45547,42.1251,0
random57,,70.43882,42.11161,0
random58,,70.41462,42.09492,0
random59,,70.4081,42.07454,0
random60,,70.43264,42.09225,0
random61,,70.38303,42.07403,0
random62,,70.5262,42.0883,0
random63,,70.49496,42.1074,0
random64,,70.46886,42.12166,0
random65,,70.53478,42.15883,0
random66,,70.77919,42.28098,0
random67,,70.84013,42.31755,0
random68,,70.80717,42.32593,0
random69,,70.78382,42.3093,0
random70,,70.70434,42.31197,0
random71,,70.65628,42.31108,0
random72,,70.80829,42.36986,0
random73,,70.80987,42.34601,0
random74,,70.81781,42.34278,0
random75,,70.82201,42.36352,0
random76,,70.7815,42.36935,0
random77,,70.71833,42.33434,0
random78,,70.68743,42.33028,0
random79,,69.44972,43.51892,0
random80,,69.4371,43.52365,0
random81,,69.4258,43.49264,0
random82,,69.61423,43.42335,0
random83,,69.68282,43.49624,0
random84,,69.65643,43.50678,0
random85,,69.63992,43.51128,0
random86,,69.54966,43.54076,0
random87,,69.53882,43.54428,0
random88,,71.04275,43.13145,0
random89,,71.0317,43.141,0
random90,,70.91756,43.24426,0
random91,,70.91156,43.25173,0
random92,,70.87473,43.28397,0
random93,,70.97569,43.83696,0
random94,,70.97015,43.82306,0
random95,,70.96917,43.80279,0
random96,,70.94385,43.76375,0
random97,,70.93246,43.6979,0
random98,,70.93098,43.68603,0
random99,,70.9273,43.65247,0
random100,,70.92669,43.66613,0
random101,,70.92616,43.61491,0
random102,,70.922,43.6049,0
random103,,70.89834,43.538,0
random104,,70.88672,43.50666,0
random105,,70.86874,43.51727,0
random106,,70.1009,43.75541,0
random107,,70.10914,43.75249,0
random108,,70.18468,43.80446,0
random109,,70.53459,43.78359,0
random110,,70.53438,43.79325,0
random111,,70.51204,43.6788,0
random112,,70.52674,43.69026,0
random113,,70.52009,43.70425,0
random114,,70.50871,43.71473,0
random115,,70.25615,43.58749,0
random116,,70.24267,43.6105,0
random117,,70.3302,43.54992,0
random118,,70.31544,43.56528,0
random119,,69.52105,43.72211,0
random120,,69.52736,43.71209,0
random121,,70.01426,43.40769,0
random122,,70.0075,43.41001,0
random123,,70.00806,43.41152,0
random124,,69.98241,43.42378,0
random125,,69.97198,43.42235,0
random126,,69.94932,43.42989,0
random127,,69.90654,43.44086,0
random128,,69.92538,43.42841,0
random129,,69.92658,43.43405,0
random130,,68.11575,43.36774,0
random131,,68.10506,43.37398,0
random132,,69.66183,42.78709,0
random133,,69.65745,42.80634,0
random134,,69.65852,42.79888,0
random135,,69.63914,42.93529,0
random136,,69.62481,42.93441,0
random137,,69.63125,42.94641,0
random138,,69.50153,42.99413,0
random139,,69.5193,42.99909,0
random140,,69.45414,43.00887,0
random141,,69.44382,43.01165,0
random142,,69.44794,43.01199,0
random143,,69.40554,43.02834,0
random144,,69.37833,43.03806,0
random145,,69.28101,43.03751,0
random146,,69.28093,43.04717,0
random147,,69.17525,43.08324,0
random148,,69.13556,43.08958,0
random149,,67.52379,43.74196,0
random150,,67.61279,43.66094,0
random151,,68.81427,43.93067,0
random152,,68.484,44.12568,0
random153,,68.56502,44.05713,0
random154,,70.62168,43.48596,0
random155,,70.61412,43.51211,0
random156,,70.44214,43.27161,0
random157,,70.42841,43.27842,0
random158,,70.41262,43.28498,0
random159,,70.46677,43.19888,0
random160,,70.41849,43.18909,0
random161,,70.40635,43.19102,0
random162,,70.43204,43.14583,0
random163,,70.47701,43.14878,0
random164,,70.52594,42.9085,0
random165,,70.87394,42.71693,0
random166,,70.87235,42.71983,0
random167,,70.87703,42.73665,0
random168,,71.07508,42.80411,0
random169,,71.13173,42.80619,0
random170,,71.1089,42.80505,0
random171,,70.88679,42.94962,0
random172,,70.83446,42.93974,0
random173,,70.7873,42.93348,0
random174,,70.76014,42.933,0
random175,,70.6829,42.94745,0
random176,,70.71165,42.9433,0
random177,,70.73139,42.92602,0
random178,,70.78219,42.91726,0
random179,,70.75764,42.90368,0
random180,,71.04441,42.95533,0
random181,,71.0693,42.94559,0
random182,,71.11076,42.94666,0
random183,,71.08123,42.95043,0
random184,,71.57612,43.27638,0
random185,,71.56233,43.28049,0
random186,,71.5689,43.28027,0
random187,,71.56953,43.40102,0
random188,,71.57047,43.38262,0
random189,,71.58292,43.39971,0
random190,,71.54985,43.41504,0
random191,,71.54839,43.40794,0
random192,,71.46051,43.38129,0
random193,,71.45222,43.40357,0
random194,,71.41548,43.40258,0
random195,,71.40707,43.41586,0
random196,,71.3845,43.4345,0
random197,,70.96252,43.95765,0
random198,,70.94724,43.94195,0
random199,,70.94742,43.91574,0
random200,,70.86048,43.92413,0
random201,,70.83913,43.93291,0
random202,,70.82488,43.94447,0
random203,,70.83433,43.9517,0
random204,,70.70346,43.93712,0
random205,,70.72093,43.93119,0
random206,,70.71234,43.93502,0
random207,,70.63402,43.93008,0
random208,,70.61887,43.92828,0
random209,,70.57769,43.92163,0
random210,,70.56894,43.92504,0
random211,,70.51925,43.92833,0
random212,,70.5187,43.93246,0
random213,,70.47802,43.96702,0
random214,,70.48637,43.96864,0
random215,,70.47435,43.96833,0
random216,,70.47506,43.96914,0
random217,,70.41846,44.01638,0
random218,,70.44103,44.01046,0
random219,,70.42262,44.01537,0
random220,,70.3797,44.03731,0
random221,,70.45947,44.05276,0
random222,,70.08601,44.21148,0
random223,,70.07966,44.21296,0
random224,,70.23819,44.14824,0
random225,,70.23019,44.14972,0
random226,,70.23716,44.1484,0
random227,,70.24014,44.15038,0
random228,,70.24293,44.15063,0
random229,,70.31164,44.09923,0
random230,,70.31299,44.0971,0
random231,,70.32912,44.09623,0
random232,,70.32974,44.0642,0
random233,,70.33008,43.98569,0
random234,,70.33115,43.98813,0
random235,,70.32057,44.00367,0
random236,,70.31737,44.00627,0
random237,,70.31548,44.01318,0
random238,,70.31136,44.01507,0
random239,,70.28638,43.99041,0
random240,,70.28638,43.99152,0
random241,,70.28726,43.99913,0
random242,,70.28606,44.00629,0
random243,,70.36467,43.95342,0
random244,,70.37411,43.93841,0
random245,,70.36064,43.93272,0
random246,,70.2836,43.89953,0
random247,,70.25283,43.9157,0
random248,,70.23995,43.91703,0
random249,,70.24699,43.91091,0
random250,,70.23708,43.92455,0
random251,,70.23004,43.93092,0
random252,,70.21364,43.92999,0
random253,,69.80943,43.91245,0
random254,,69.80649,43.91463,0
random255,,69.77001,43.89762,0
random256,,69.71885,43.90811,0
random257,,69.7216,43.9363,0
random258,,69.78271,43.97387,0
random259,,69.71542,43.96102,0
random260,,67.2298,44.00183,0
random261,,67.122,44.0739,0
random262,,67.03754,44.11828,0
random263,,66.95926,44.13307,0
random264,,67.47507,44.0149,0
random265,,67.46924,44.01368,0
random266,,67.44408,44.01511,0
random267,,67.43767,44.00755,0
random268,,67.42584,44.00216,0
random269,,67.43305,44.00121,0
random270,,67.41169,43.99357,0
random271,,67.37392,43.97372,0
random272,,67.35203,43.96192,0
random273,,68.09498,43.67196,0
random274,,68.05283,43.62636,0
random275,,68.05658,43.63289,0
random276,,68.05996,43.62419,0
random277,,68.07593,43.60025,0
random278,,68.06814,43.60143,0
random279,,68.08903,43.5809,0
random280,,68.09672,43.57263,0
random281,,68.11906,43.54693,0
random282,,68.1203,43.54635,0
random283,,68.12416,43.5452,0
random284,,68.11409,43.54748,0
random285,,68.19262,43.53503,0
random286,,68.19015,43.53536,0
random287,,68.17702,43.53735,0
random288,,68.20303,43.53592,0
random289,,68.19897,43.53549,0
random290,,68.21454,43.53379,0
random291,,68.23342,43.52815,0
random292,,68.24782,43.52577,0
random293,,68.2946,43.52397,0
random294,,68.55729,43.44346,0
random295,,68.55304,43.43966,0
random296,,68.63167,43.42716,0
random297,,68.61965,43.43209,0
random298,,68.60124,43.43215,0
random299,,68.69557,43.43243,0
random300,,68.68536,43.4314,0
random301,,68.72531,43.43177,0
random302,,68.74351,43.43636,0
random303,,68.76938,43.43311,0
random304,,69.23927,43.69861,0
random305,,69.21867,43.7125,0
random306,,69.17472,43.76707,0
random307,,69.11189,43.68892,0
random308,,69.08924,43.6554,0
random309,,69.06743,43.64745,0
random310,,69.04615,43.61465,0
